,productAsin,country,date,isVerified,ratingScore,reviewTitle,variantAsin,Color,Size
2777,B09G9D8KRQ,India,18-02-2023,True,5,Ocm,B09G93H3BR,Blue,256 GB
2778,B09G9D8KRQ,India,09-08-2024,False,5,Apple iPhone 13 (256GB) - Pink,B09G9HRYFZ,Pink,256 GB
2779,B09G9D8KRQ,India,09-10-2023,False,5,Must Order in Great Indian Festival Sale,B09G9HRYFZ,Pink,256 GB
2780,B09G9D8KRQ,India,12-08-2022,False,5,Terrific purchase!,B09G9HRYFZ,Pink,256 GB
2781,B09G9D8KRQ,India,05-07-2022,False,5,Amazing phone and amazing packaging by Amazon,B09G9HRYFZ,Pink,256 GB
2782,B09G9D8KRQ,India,21-06-2022,False,5,I want to switch Android to iPhone,B09G9HRYFZ,Pink,256 GB
2783,B09G9D8KRQ,India,25-09-2021,False,5,Iphone 13 product red,B09G9HRYFZ,Pink,256 GB
2784,B09G9D8KRQ,India,28-06-2022,True,5,Super phone,B09G9HRYFZ,Pink,256 GB
2785,B09G9D8KRQ,India,14-09-2022,True,5,Super Good,B09G9HRYFZ,Pink,256 GB
2786,B09G9D8KRQ,India,31-08-2022,True,5,iphone 13,B09G9HRYFZ,Pink,256 GB
2787,B09G9D8KRQ,India,02-08-2022,True,5,Complete phone ,B09G9HRYFZ,Pink,256 GB
2788,B09G9D8KRQ,India,01-06-2022,True,5,Worth every penny,B09G9HRYFZ,Pink,256 GB
2789,B09G9D8KRQ,India,19-04-2022,True,5,Excellent one,B09G9HRYFZ,Pink,256 GB
2790,B09G9D8KRQ,India,16-04-2022,True,5,Aag lga de aasa phon h,B09G9HRYFZ,Pink,256 GB
2791,B09G9D8KRQ,India,13-11-2023,True,5,One dum,B09G9HRYFZ,Pink,256 GB
2792,B09G9D8KRQ,India,16-10-2023,True,5,Best in range,B09G9HRYFZ,Pink,256 GB
2793,B09G9D8KRQ,India,07-10-2022,True,5,Missing pink color,B09G9HRYFZ,Pink,256 GB
2794,B09G9D8KRQ,India,25-08-2022,True,5,Fully satisfied wid d fon... Everything is good,B09G9HRYFZ,Pink,256 GB
2795,B09G9D8KRQ,India,03-09-2022,True,4,Should have bigger battery,B09G9HRYFZ,Pink,256 GB
2796,B09G9D8KRQ,India,13-05-2022,True,5,Good mobile but high cost,B09G9HRYFZ,Pink,256 GB
2797,B09G9D8KRQ,India,02-06-2022,True,4,Never buy from online,B09G9HRYFZ,Pink,256 GB
2798,B09G9D8KRQ,India,16-07-2022,True,5,"Awesome phone,  great camera, Display and sensors response super quick. good battery life.",B09G9HRYFZ,Pink,256 GB
2799,B09G9D8KRQ,India,24-07-2022,True,5,It's iPhone 13,B09G9HRYFZ,Pink,256 GB
2800,B09G9D8KRQ,India,26-08-2022,True,5,Display,B09G9HRYFZ,Pink,256 GB
2801,B09G9D8KRQ,India,25-09-2021,False,1,Excellent upgrade in context of being 90k poorer.,B09G9HRYFZ,Pink,256 GB
2802,B09G9D8KRQ,India,25-09-2021,False,5,Go for it..,B09G9HRYFZ,Pink,256 GB
2803,B09G9D8KRQ,India,25-09-2021,False,5,Very good product but I have no money,B09G9HRYFZ,Pink,256 GB
2804,B09G9D8KRQ,India,28-09-2021,True,5,Exquisite experience,B09G9HRYFZ,Pink,256 GB
2805,B09G9D8KRQ,India,29-09-2021,True,5,Nice Colour (Pink) Looks Like White,B09G9HRYFZ,Pink,256 GB
2806,B09G9D8KRQ,India,16-02-2022,False,5,Buy 4 this phone in 1lac my all family members are happy,B09G9HRYFZ,Pink,256 GB
2807,B09G9D8KRQ,India,28-10-2023,True,5,Iphone at its best,B09G9HRYFZ,Pink,256 GB
2808,B09G9D8KRQ,India,29-08-2022,False,1,It's waste of money better buy iPhone 14 pro max which is available with me,B09G9BQS98,Midnight,256 GB
2809,B09G9D8KRQ,India,15-05-2024,True,5,Value for money.,B09G9HD6PD,Midnight,128 GB
2810,B09G9D8KRQ,India,20-06-2024,True,5,Good,B09G9HD6PD,Midnight,128 GB
2811,B09G9D8KRQ,India,13-06-2024,True,5,Smooth,B09G9HD6PD,Midnight,128 GB
2812,B09G9D8KRQ,India,04-06-2024,True,5,Iphone 13,B09G9HD6PD,Midnight,128 GB
2813,B09G9D8KRQ,India,06-01-2024,True,4,Smooth as butter,B09G9HD6PD,Midnight,128 GB
2814,B09G9D8KRQ,India,28-05-2024,True,5,Fantastic,B09G9HD6PD,Midnight,128 GB
